"","artist","genres"
"373","Coldplay","permanent wave,pop"
"374","Britney Spears","dance pop,pop,post-teen pop"
"375","Bruce Springsteen","heartland rock,mellow gold,permanent wave,rock,singer-songwriter,soft rock"
"376","The Pogues","celtic punk,celtic rock,folk punk,punk"
"377","Kylie Minogue","australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop rock"
"378","Chuck Berry","blues-rock,christmas,classic rock,folk rock,rock,rock-and-roll,rockabilly,soul"
"379","Darlene Love","adult standards,brill building pop,christmas,motown"
"380","Eartha Kitt","adult standards,christmas,vocal jazz"
"381","Mario Bautista","latin pop,mexican pop"
"382","Christian Nodal","regional mexican"
"383","Grupo Arranke","regional mexican pop"
"384","Aleman",""
"385","La Adictiva Banda San José de Mesillas","banda,grupera,norteno,regional mexican,regional mexican pop"
"386","Rvssian","italian hip hop,trap latino"
"387","Banda Sinaloense MS de Sergio Lizárraga","banda,norteno,regional mexican"
"388","T3R Elemento","regional mexican,regional mexican pop"
"389","Danny Ocean","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"390","Luis Miguel","bolero,latin,latin pop,mariachi"
"391","Los Angeles Azules","grupera,gruperas inmortales,nu-cumbia,regional mexican"
"392","Davina Michelle","dutch pop,dutch rock"
"393","Kris Kross Amsterdam","dutch house,tropical house"
"394","The Blockparty","dutch hip hop"
"395","Frenna","dutch hip hop"
"396","Boef","dutch hip hop"
"397","Bizzey","dutch hip hop"
"398","Nielson","dutch pop,dutch rock"
"399","Idaly","dutch hip hop"
"400","Soufiane Eddyani","belgian hip hop,dutch hip hop"
"401","Caza",""
"402","Famke Louise","dutch hip hop"
"403","Armin van Buuren","edm,progressive house,progressive trance,trance"
"404","Silk City","edm,house,pop,tropical house"
"405","Aya Nakamura","basshall"
"406","Josylvio","dutch hip hop"
"407","Stevie Wonder","adult standards,boston hardcore,christmas,motown,quiet storm,soul"
"408","Elton John","glam rock,mellow gold,piano rock,rock,soft rock"
"409","Meghan Trainor","dance pop,hip pop,pop,post-teen pop"
"410","The Jackson 5","adult standards,christmas,motown"
"411","Free Finga",""
"412","Retro",""
"413","Mike Posner","dance pop,pop,pop rap"
"414","Ansis","latvian hip hop"
"415","Lil Peep","emo rap,lgbtq+ hip hop"
"416","<U+0422><U+0438><U+043C><U+0430> <U+0411><U+0435><U+043B><U+043E><U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0445>",NA
"417","MiyaGi & <U+042D><U+043D><U+0434><U+0448><U+043F><U+0438><U+043B><U+044C>",NA
"418","Roach","alternative metal,nu metal,pop punk,post-grunge,rap metal,rap rock"
"419","Big Baby Tape","russian hip hop,russian trap"
"420","French Montana","hip hop,pop,pop rap,rap,southern hip hop,trap music"
"421","JóiPé",NA
"422","Herra Hnetusmjör","icelandic hip hop,icelandic pop"
"423","Aron Can","icelandic hip hop,icelandic indie,icelandic pop"
"424","ClubDub",""
"425","Friðrik Dór","icelandic pop"
"426","Huginn","icelandic pop"
"427","Séra Bjössi",""
"428","GDRN","icelandic pop"
"429","Jón Jónsson","icelandic pop"
"430","BRÍET",NA
"431","Omer Adam","hebrew pop,israeli mediterranean,israeli pop,mizrahi"
"432","Itay Levi","hebrew pop,israeli mediterranean,israeli pop,mizrahi"
"433","Noy Fadlon","israeli mediterranean"
"434","Gil Vain","israeli mediterranean,israeli pop"
"435","Osher Cohen","hebrew pop,israeli mediterranean,israeli pop,mizrahi"
"436","Ishay Ribo","hebrew pop,israeli mediterranean,israeli pop,jewish pop,mizrahi"
"437","Eden Hason","hebrew pop,israeli mediterranean,israeli pop,mizrahi"
"438","Nathan Goshen","israeli mediterranean,israeli pop"
"439","Eminem","detroit hip hop,g funk,hip hop,rap"
"440","Liran Danino","hebrew pop,israeli mediterranean,israeli pop"
"441","Fedez","italian arena pop,italian hip hop,italian pop"
"442","Salmo","italian hip hop,italian underground hip hop"
"443","Sfera Ebbasta","italian hip hop"
"444","Måneskin",NA
"445","Anastasio",""
"446","Dark Polo Gang","italian alternative,italian hip hop"
"447","Gemitaiz","italian hip hop"
"448","Ultimo","italian arena pop,italian pop"
"449","Emis Killa","italian hip hop"
"450","tha Supreme","italian hip hop"
"451","Marco Mengoni","italian arena pop,italian pop,italian pop rock"
"452","Luna","latin viral pop"
"453","Irama","italian arena pop,italian pop"
"454","Tedua","italian hip hop"
"455","Martina Attili","italian arena pop"
"456","Carl Brave","italian hip hop,italian pop,rap napoletano"
"457","Gianni Bismark","italian hip hop"
"458","Dani Faiv","italian hip hop"
"459","Capo Plaza","italian hip hop"
"460","Gue Pequeno","italian hip hop"
"461","Fred De Palma","italian arena pop,italian hip hop,italian pop"
"462","GionnyScandal","italian arena pop,italian hip hop,italian pop"
"463","Elisa","dansband,danspunk,swedish eurodance,swedish folk pop,swedish idol pop,swedish pop"
"464","Aimyon",""
"465","DA PUMP","j-pop,japanese r&b"
"466","DAOKO×<U+7C73><U+6D25><U+7384><U+5E2B>",NA
"467","MISIA","anime,j-pop,japanese city pop,japanese r&b"
"468","Mr.Children",""
"469","[Alexandros]","anime,anime rock,j-pop,j-rock"
"470","AAA","anime,j-idol,j-pop,japanese r&b"
"471","Superfly","anime,j-pop,japanese r&b"
"472","MONGOL800","j-pop,j-punk,j-rock"
"473","ONE OK ROCK","j-pop,j-rock,visual kei"
"474","Nogizaka46","anime,j-idol,j-pop,japanese r&b"
"475","Masaki Suda","anime rock,j-pop"
"476","Yo Hitoto","j-pop,japanese city pop,japanese r&b"
"477","HY","tin pan alley"
"478","Sakanaction","j-dance,j-pop,j-rock,japanese city pop"
"479","AI","anime,j-idol,j-pop,japanese r&b"
"480","Shota Shimizu","j-pop,japanese r&b"
"481","GReeeeN","anime,j-idol,j-pop,j-rock,japanese r&b"
"482","Motohiro Hata","anime,j-pop,j-rock,japanese city pop,japanese r&b"
"483","Sheena Ringo","anime,j-dance,j-pop,j-rock,japanese city pop,japanese r&b"
"484","Official HIGE DANdism","anime rock,j-pop"
"485","Utada Hikaru","anime,j-pop,japanese r&b"
"486","flumpool","anime,anime rock,j-idol,j-pop,j-rock,japanese r&b"
"487","Sukima Switch","anime,j-pop,j-rock,japanese r&b"
"488","Dermot Kennedy","indie anthem-folk,indie folk"
"489","Picture This","indie anthem-folk,neo mellow"
"490","Sigala","dance pop,edm,pop,tropical house"
"491","MK","deep groove house,edm,house,tropical house"
"492","Seventeen","k-pop"
"493","Wahyu","indonesian pop"
"494","Rizky Febian","indonesian pop,malaysian pop"
"495","Marion Jola","indonesian pop"
"496","Virzha","indonesian pop"
"497","Fourtwnty","indonesian indie,indonesian pop"
"498","Hanin Dhiya","indonesian pop"
"499","TheOvertunes","indonesian indie,indonesian pop"
"500","Arsy Widianto","indonesian pop"
"501","88rising","lo-fi beats"
"502","Sheila On 7","indonesian indie,indonesian pop"
"503","Tulus","indonesian indie,indonesian jazz,indonesian pop"
"504","Jaz","alternative r&b,indie r&b,uk contemporary r&b"
"505","John Mayer","neo mellow,pop,pop rock,singer-songwriter"
"506","Fiersa Besari","indonesian indie,indonesian pop,indonesian pop punk"
"507","Brisia Jodie","indonesian pop"
"508","Dewa 19","indonesian indie,indonesian pop,indonesian rock"
"509","Devano Danendra","indonesian pop"
"510","iKON","k-pop"
"511","Nadin Amizah","indonesian indie,indonesian pop"
"512","Payung Teduh","indonesian indie,indonesian pop"
"513","Hivi!","indonesian indie,indonesian pop"
"514","Bunga Citra Lestari","dangdut,indonesian pop"
"515","Hins Cheung","c-pop,cantopop,mandopop"
"516","Louis Koo","cantopop"
"517","RubberBand","c-pop,chinese indie"
"518","Eason Chan","c-pop,cantopop,mandopop"
"519","Kay Tse","c-pop,cantopop"
"520","Juno Mak","c-pop,cantopop,chinese indie"
"521","Jason Chan","c-pop,cantopop"
"522","Joey Yung","c-pop,cantopop,mandopop"
"523","Dear Jane","c-pop,cantopop"
